address,price,home_type,bedrooms,bathrooms,square_feet,built,lot_size,neighborhood,county,city,zipcode,high_school,middle_school,elementary_school
"3157 NE MARINE DR, Portland OR 97035",65000,Floating Home - 1 Story,1,1.0,800,1964,,unknown,Multnomah,Portland,97035,Current Price:,Jefferson,Faubion
"17452 NE GLISAN ST #7, Portland OR 97230",72000,Manufactured - Double Wide Manufact,2,2.0,1152,1988,,unknown,Multnomah,Portland,97230,Reynolds,Reynolds,Hartley
"9034 SE 78TH PL, Portland OR 97206",79950,Manufactured - Double Wide Manufact,3,2.0,1344,1997,,unknown,Clackamas,Portland,97206,Current Price:,Milwaukie,Whitman
"16000 SE POWELL BLVD 75, Portland OR 97236",79950,Manufactured - Double Wide Manufact,3,2.0,1404,1990,,unknown,Multnomah,Portland,97236,Centennial,Centennial,Powell Butte
"12846 SE RAMONA ST 6, Portland OR 97236",93900,Manufactured - Double Wide Manufact,3,2.0,1297,1997,,unknown,Multnomah,Portland,97236,David Douglas,Alice Ott,Gilbert Hts
"7720 S Macadam AVE 7, Portland OR 97219",125000,Floating Home - Contemporary,3,3.0,2432,1988,,unknown,Multnomah,Portland,97219,Other,Other,Other
"19609 NE Marine DR E-4, Portland OR 97230",129500,Floating Home - Cabin,1,1.0,735,1960,,unknown,Multnomah,Portland,97230,Reynolds,Reynolds,Salish Pond
"2704 SE 138TH AVE 26, Portland OR 97236",141900,Condo - Traditional,1,1.0,720,1974,,Copperfield Condominiums,Multnomah,Portland,97236,David Douglas,Ron Russell,Lincoln Park
"20 NW 16TH AVE 7, Portland OR 97209",144900,Condo - Common Wall,1,1.0,382,1927,,PEARL DISTRICT,Multnomah,Portland,97209,Lincoln,West Sylvan,Chapman
"9837 NE IRVING ST 321, Portland OR 97220",149900,Condo - Other,1,1.0,513,2004,,unknown,Multnomah,Portland,97220,David Douglas,Floyd Light,Ventura Park
"9334 N TYLER AVE, Portland OR 97203",157900,Single Family - Bungalow,2,1.0,879,1905,0.07,unknown,Multnomah,Portland,97203,Jefferson,Other,James John
"12863 SE STARK ST A12, Portland OR 97233",159000,Condo - Traditional,2,2.0,1003,1969,,HAZELWOOD,Multnomah,Portland,97233,David Douglas,Floyd Light,Menlo Park
